id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Rock Mix,0.0998735099999999,0.5218400000000002,252281.7,0.8159399999999999,0.0205246633999999,4.74,0.1911739999999999,-6.45478,0.8,0.0646939999999999,121.73656000000004,3.96,0.6080399999999999
1,"<a href=spotify:playlist:37i9dQZF1EIVJW7PzIkjtQ>Creedence Clearwater Revival</a>, <a href=spotify:playlist:37i9dQZF1EIYcZwbbjckJd>Radiohead</a>, <a href=spotify:playlist:37i9dQZF1EIYWwGqC3GC7o>Linkin Park</a> and more",0.0998735099999999,0.5218400000000002,252281.7,0.8159399999999999,0.0205246633999999,4.74,0.1911739999999999,-6.45478,0.8,0.0646939999999999,121.73656000000004,3.96,0.6080399999999999
2,Rock Classics,0.1368918478,0.5250250000000003,264797.84,0.7318700000000007,0.05681201055,5.255,0.189377,-8.036345000000003,0.76,0.0593624999999999,123.19616500000002,3.96,0.5947940000000002
3,Rock legends & epic songs that continue to inspire generations. Cover: Foo Fighters,0.1368918478,0.5250250000000003,264797.84,0.7318700000000007,0.05681201055,5.255,0.189377,-8.036345000000003,0.76,0.0593624999999999,123.19616500000002,3.96,0.5947940000000002
4,Rock and Roll Mix,0.5304319999999999,0.5727199999999999,159871.14,0.6929,0.0251641984,5.48,0.183388,-7.76322,0.86,0.072034,134.37255999999996,3.92,0.8143599999999996
5,Rock and Roll music picked just for you,0.5304319999999999,0.5727199999999999,159871.14,0.6929,0.0251641984,5.48,0.183388,-7.76322,0.86,0.072034,134.37255999999996,3.92,0.8143599999999996
6,,0.1949672950819671,0.5976573770491803,221714.5081967213,0.6781672131147544,0.1034552249180328,6.409836065573771,0.1997,-7.313344262295084,0.4918032786885246,0.0740852459016393,127.01296721311476,3.950819672131148,0.5285131147540982
7,"for inquiries pls email: hannah@craftplaylists.com &#x2F; all types of rock live here. pop rock, metal, alt, etc. &#x2F; featuring Bring Me The Horizon",0.1949672950819671,0.5976573770491803,221714.5081967213,0.6781672131147544,0.1034552249180328,6.409836065573771,0.1997,-7.313344262295084,0.4918032786885246,0.0740852459016393,127.01296721311476,3.950819672131148,0.5285131147540982
8,Rocky Training,0.3154141176470588,0.5902941176470587,211690.76470588235,0.6436470588235293,0.4646955064705882,5.764705882352941,0.1162058823529411,-10.632882352941175,0.4117647058823529,0.0417470588235294,114.66823529411764,3.941176470588236,0.5919705882352941
9,"One hour on top of the best music from the Rocky movies. Trying hard now, it’s so hard now. Trying hard now, getting strong now. Won’t be long now. Getting strong now, gonna fly now. Flying high now, gonna fly, fly, fly!",0.3154141176470588,0.5902941176470587,211690.76470588235,0.6436470588235293,0.4646955064705882,5.764705882352941,0.1162058823529411,-10.632882352941175,0.4117647058823529,0.0417470588235294,114.66823529411764,3.941176470588236,0.5919705882352941
10,,0.2143910114285714,0.6181142857142857,192693.9714285714,0.6957142857142857,0.0792702614285714,5.714285714285714,0.2166742857142857,-7.262542857142858,0.5714285714285714,0.0891714285714285,121.75797142857144,4.057142857142857,0.524697142857143
11,KURT KOBAIN - Rock On Man - pitch@theplaylistbros.com,0.2143910114285714,0.6181142857142857,192693.9714285714,0.6957142857142857,0.0792702614285714,5.714285714285714,0.2166742857142857,-7.262542857142858,0.5714285714285714,0.0891714285714285,121.75797142857144,4.057142857142857,0.524697142857143
12,,0.0528092132352941,0.4640588235294118,231847.04411764705,0.8341323529411763,0.001341276617647,5.926470588235294,0.2356191176470588,-4.675808823529409,0.6323529411764706,0.0672411764705882,132.07329411764707,3.9705882352941178,0.4381573529411764
13,The essential rock songs of the first decade of the new Millenium...,0.0528092132352941,0.4640588235294118,231847.04411764705,0.8341323529411763,0.001341276617647,5.926470588235294,0.2356191176470588,-4.675808823529409,0.6323529411764706,0.0672411764705882,132.07329411764707,3.9705882352941178,0.4381573529411764
14,Rock This,0.0311425352,0.51866,197809.96,0.8505400000000003,0.0214167943999999,5.3,0.201902,-4.5032000000000005,0.6,0.069942,135.08106,4.0,0.5487600000000001
15,IDLES along with today's Rock songs you need to know.,0.0311425352,0.51866,197809.96,0.8505400000000003,0.0214167943999999,5.3,0.201902,-4.5032000000000005,0.6,0.069942,135.08106,4.0,0.5487600000000001
16,Rock en Español,0.19521571,0.6160799999999998,245380.83,0.71262,0.0190841030999999,5.53,0.1992329999999999,-7.002729999999999,0.59,0.0396429999999999,124.34986000000002,3.97,0.6580400000000002
17,Legendarios del rock en español. Cover: Maná,0.19521571,0.6160799999999998,245380.83,0.71262,0.0190841030999999,5.53,0.1992329999999999,-7.002729999999999,0.59,0.0396429999999999,124.34986000000002,3.97,0.6580400000000002
